School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Univ Settlement Child Care Center-Ps 134;;;293 East Broadway;private;PK, K;0;N/A;;/new-york/new-york/15252-Univ-Settlement-Child-Care-Center-Ps-134/
Union Settlement Assoc Dc-Wash;;;1775 3rd Avenue;private;PK;0;N/A;;/new-york/new-york/15253-Union-Settlement-Assoc-Dc-Wash/
Union Settlement Dc-Legget;;;237 East 104th Street;private;PK;0;N/A;;/new-york/new-york/15254-Union-Settlement-Dc-Legget/
Nyc Parks & Rec Child Care Center-Chelsea;;;430 West 25th Street;private;PK;0;N/A;;/new-york/new-york/15255-Nyc-Parks--Rec-Child-Care-Center-Chelsea/
Bright Horizons Child Care Center-Citi Group;;;399 Park Avenue;private;PK;0;N/A;;/new-york/new-york/15256-Bright-Horizons-Child-Care-Center-Citi-Group/
Little Me Day Care 1;;;509 West 189th Street;private;PK;0;N/A;;/new-york/new-york/15257-Little-Me-Day-Care-1/
Childrens Center-Goldman Sachs;;;200 West Street;private;PK;0;N/A;;/new-york/new-york/15435-Childrens-Center-Goldman-Sachs/
Stryckers Bay Neighborhood Com;;;32 West 92nd Street;private;PK;0;N/A;;/new-york/new-york/15443-Stryckers-Bay-Neighborhood-Com/
Cypress Hills Local Development Corporation;;;Millenium Hilton Hotel;private;PK;0;N/A;;/new-york/new-york/15448-Cypress-Hills-Local-Development-Corporation/
Nycha Herbert H Lehman Dc;;;1589 Madison Avenue;private;PK;0;N/A;;/new-york/new-york/15453-Nycha-Herbert-H-Lehman-Dc/
Institue For Labor Community;;;541 East 12th Street;private;PK;0;N/A;;/new-york/new-york/15455-Institue-For-Labor-Community/
Mc Burney Ymca;;;116 West 11th Street;private;PK;0;N/A;;/new-york/new-york/15458-Mc-Burney-Ymca/
Falu Foundation A/S Ecc;;;333 East 118th Street;private;PK;0;N/A;;/new-york/new-york/15460-Falu-Foundation-A-S-Ecc/
Goddard Riverside Community Center;;;647 Columbus Avenue;private;PK;0;N/A;;/new-york/new-york/15463-Goddard-Riverside-Community-Center/
Living Room International Child Care Center;;;Linden Blvd;private;PK;0;N/A;;/new-york/new-york/15464-Living-Room-International-Child-Care-Center/
Dominicana Day Care;;;2965 Frederick Douglass Boulevard;private;PK;0;N/A;;/new-york/new-york/15468-Dominicana-Day-Care/
14th St Y Pre-School;;;344 East 14th Street;private;PK;0;N/A;;/new-york/new-york/15536-14th-St-Y-Pre-School/
Man High School Lyfe Center;;;317 West 52nd Street;private;PK;0;N/A;;/new-york/new-york/15582-Man-High-School-Lyfe-Center/
Pre-School 142 Head Start;;;100 Attorney Street;private;PK;0;N/A;;/new-york/new-york/15583-Pre-School-142-Head-Start/
Jp Morgan Chase Midtown Child Care Center;;;18 East 48th Street;private;PK;0;N/A;;/new-york/new-york/15611-Jp-Morgan-Chase-Midtown-Child-Care-Center/
Rainbow Room Day Care;;;20 Magaw Place;private;PK;0;N/A;;/new-york/new-york/15612-Rainbow-Room-Day-Care/
West Harlem Head Start Site 2;;;101 West 116th Street;private;PK;0;N/A;;/new-york/new-york/15674-West-Harlem-Head-Start-Site-2/
Nycha Manhattanville Community;;;530 West 133rd Street;private;PK;0;N/A;;/new-york/new-york/15699-Nycha-Manhattanville-Community/
La Guardia Memorial House;;;307 East 116th Street;private;PK;0;N/A;;/new-york/new-york/15700-La-Guardia-Memorial-House/
Group 6 Head Start;;;60 Catherine Street;private;PK, K;0;N/A;;/new-york/new-york/15701-Group-6-Head-Start/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Foy Society After School Program;;;33 West 142nd Street;private;PK;0;N/A;;/new-york/new-york/15702-Foy-Society-After-School-Program/
Hollingworth Pre-School;;;525 West 120th Street;private;PK;0;N/A;;/new-york/new-york/15739-Hollingworth-Pre-School/
Taft Day Care Center;;;1724 Madison Avenue #26;private;PK, K;0;N/A;;/new-york/new-york/15757-Taft-Day-Care-Center/
Bloomingdale Family Child Care Center;;;987 Columbus Avenue;private;PK;0;N/A;;/new-york/new-york/15765-Bloomingdale-Family-Child-Care-Center/
Henry St Settlement Urban Dc;;;110 Baruch Drive;private;PK;0;N/A;;/new-york/new-york/15766-Henry-St-Settlement-Urban-Dc/
St Thomas More Play Group;;;65 East 89th Street;private;PK;0;N/A;;/new-york/new-york/15799-St-Thomas-More-Play-Group/
Nursery Infant & Tdlr Center;;;2094 Frederick Douglass Boulevard;private;PK;0;N/A;;/new-york/new-york/15800-Nursery-Infant--Tdlr-Center/
Annunciation Little Angels High School;;;461 West 131st Street;private;PK;0;N/A;;/new-york/new-york/15801-Annunciation-Little-Angels-High-School/
Amac Childrens House;;;25 West 17th Street;private;PK;0;N/A;;/new-york/new-york/15843-Amac-Childrens-House/
La Familia Unida Day Care;;;2346 Amsterdam Avenue;private;PK, K;0;N/A;;/new-york/new-york/15848-La-Familia-Unida-Day-Care/
Village Kids Nursery;;;244 West 14th Street;private;PK;0;N/A;;/new-york/new-york/15859-Village-Kids-Nursery/
Union Settlement Child Care Center Ii;;;218 East 104th Street;private;PK;0;N/A;;/new-york/new-york/15860-Union-Settlement-Child-Care-Center-Ii/
Union Settlement Child Care Center I;;;1893 2nd Avenue;private;PK;0;N/A;;/new-york/new-york/15861-Union-Settlement-Child-Care-Center-I/
Barclay Street Pre-School;;;6 Barclay Street;private;PK;0;N/A;;/new-york/new-york/15862-Barclay-Street-Pre-School/
Garden House Pre-Sch-New York;;;593 Park Avenue;private;PK;0;N/A;;/new-york/new-york/15863-Garden-House-Pre-Sch-New-York/
Community Resources Child Care Center;;;323 Grand Street;private;PK;0;N/A;;/new-york/new-york/15864-Community-Resources-Child-Care-Center/
City & Country Pre-School I;;;165 West 12th Street;private;PK;0;N/A;;/new-york/new-york/15865-City--Country-Pre-School-I/
Bright Mind's Child Care Center;;;200 West Street;private;PK;0;N/A;;/new-york/new-york/15866-Bright-Minds-Child-Care-Center/
Bright Horizons Child Care Center-Pearl;;;128 Pearl Street;private;PK, K;0;N/A;;/new-york/new-york/15867-Bright-Horizons-Child-Care-Center-Pearl/
Blue Man Creativity Child Care Center;;;1 Avenue B;private;PK;0;N/A;;/new-york/new-york/15868-Blue-Man-Creativity-Child-Care-Center/
Bank Street College Child Care Center;;;113 East 13th Street;private;PK;0;N/A;;/new-york/new-york/15869-Bank-Street-College-Child-Care-Center/
Abyssinian Child Development Center;;;25 West 132nd Street;private;PK;0;N/A;;/new-york/new-york/15870-Abyssinian-Child-Development-Center/
Susan Patricof Head Start;;;302 East 111th Street;private;PK;0;N/A;;/new-york/new-york/15897-Susan-Patricof-Head-Start/
Adam Clayton Powell Head Start;;;2090 Adam Clayton Powell Junior Boulevard #100;private;PK;0;N/A;;/new-york/new-york/15899-Adam-Clayton-Powell-Head-Start/
Taino Towers Head Start;;;221 East 122nd Street;private;PK, K;0;N/A;;/new-york/new-york/15907-Taino-Towers-Head-Start/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Annie G Newsome Head Start;;;129 Odell Clark Place;private;PK;0;N/A;;/new-york/new-york/15910-Annie-G-Newsome-Head-Start/
Ots Lot Child Care Center;;;13316 Springfield Blvd;private;PK, K;0;N/A;;/new-york/new-york/16220-Ots-Lot-Child-Care-Center/
Badmon Pre-School;;;416 East 80th Street;private;PK, K;0;N/A;;/new-york/new-york/16225-Badmon-Pre-School/
Round The Clock Nursery;;;301 West 130th Street;private;PK;0;N/A;;/new-york/new-york/16226-Round-The-Clock-Nursery/
America Pre-School & Day Care I;;;44 Market St 46;private;PK;0;N/A;;/new-york/new-york/16227-America-Pre-School--Day-Care-I/
Clockwork Lrn Yours Kids Our K;;;30 West 15th Street;private;PK;0;N/A;;/new-york/new-york/16239-Clockwork-Lrn-Yours-Kids-Our-K/
Echo Park Early Head Start;;;1841 Park Avenue;private;PK;0;N/A;;/new-york/new-york/16243-Echo-Park-Early-Head-Start/
St Albans Community A/S-Advantage;;;119th Ave;private;PK;0;N/A;;/new-york/new-york/16451-St-Albans-Community-A-S-Advantage/
Mini Ventures A/S Prgm-Ny;;;79th St;private;PK;0;N/A;;/new-york/new-york/16504-Mini-Ventures-A-S-Prgm-Ny/
2-Hearts Group Family Day Care;;;Linden Blvd;private;PK;0;N/A;;/new-york/new-york/16562-2-Hearts-Group-Family-Day-Care/
Salvation Army Dc-Citadel;;;175 East 125th Street;private;PK;0;N/A;;/new-york/new-york/16565-Salvation-Army-Dc-Citadel/
Boys Club Child Care Center-Harriman;;;287 East 10th Street;private;PK;0;N/A;;/new-york/new-york/16566-Boys-Club-Child-Care-Center-Harriman/
Nycha Drew Hamilton Child Care Center;;;West 143rd Street;private;PK;0;N/A;;/new-york/new-york/16567-Nycha-Drew-Hamilton-Child-Care-Center/
Nyc Parks & Rec Dc-Asser Levy;;;501 East 23rd Street;private;PK;0;N/A;;/new-york/new-york/16568-Nyc-Parks--Rec-Dc-Asser-Levy/
Kids Connection Day Care;;;50 Nagle Avenue;private;PK;0;N/A;;/new-york/new-york/16569-Kids-Connection-Day-Care/
Greenwich Vlge Yth Child Care Center-Joy Center;;;15 Eldridge Street;private;PK;0;N/A;;/new-york/new-york/16570-Greenwich-Vlge-Yth-Child-Care-Center-Joy-Center/
Children's Arts & Sci Dc-Ps178;;;Ellwood Street;private;PK;0;N/A;;/new-york/new-york/16571-Childrens-Arts--Sci-Dc-Ps178/
Boys & Girls Republic Day Care;;;888 East 6th Street;private;PK;0;N/A;;/new-york/new-york/16572-Boys--Girls-Republic-Day-Care/
Alianza Dominicana Dc-Rangel;;;159-36 Harlem River Drive;private;PK;0;N/A;;/new-york/new-york/16573-Alianza-Dominicana-Dc-Rangel/
Abyssinian Development Aft/Sch Ms 670;;;214 West 135th Street;private;PK;0;N/A;;/new-york/new-york/16574-Abyssinian-Development-Aft-Sch-Ms-670/
Abc Aft/Sch Program;;;1841 Park Avenue;private;PK;0;N/A;;/new-york/new-york/16575-Abc-Aft-Sch-Program/
My Little Garden Day Care;;;2071 5th Avenue #1b;private;PK;0;N/A;;/new-york/new-york/16576-My-Little-Garden-Day-Care/
Growing Happy Day Care;;;330 Wadsworth Avenue;private;PK;0;N/A;;/new-york/new-york/16577-Growing-Happy-Day-Care/
Woodside Pre-School;;;140 Riverside Drive;private;PK;0;N/A;;/new-york/new-york/16757-Woodside-Pre-School/
Village Pre-School Center;;;134 West 10th Street;private;PK;0;N/A;;/new-york/new-york/16758-Village-Pre-School-Center/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Creative Playschool Child Care Center;;;5 East 62nd Street;private;PK;0;N/A;;/new-york/new-york/16759-Creative-Playschool-Child-Care-Center/
Church Of The Epiphany Dcc;;;1393 York Avenue;private;PK;0;N/A;;/new-york/new-york/16760-Church-Of-The-Epiphany-Dcc/
Temple Shaaray Tefila Nursery;;;250 East 79th Street;private;PK;0;N/A;;/new-york/new-york/16761-Temple-Shaaray-Tefila-Nursery/
Smarter Toddler Day Care;;;400 West 55th Street;private;PK;0;N/A;;/new-york/new-york/16762-Smarter-Toddler-Day-Care/
Riverside Montessori School;;;202 Riverside Drive;private;PK;0;N/A;;/new-york/new-york/16763-Riverside-Montessori-School/
Madison Playgroup Day Care;;;230 East 60th Street;private;PK;0;N/A;;/new-york/new-york/16779-Madison-Playgroup-Day-Care/
La Escuelita Day Care;;;302 West 91st Street;private;PK;0;N/A;;/new-york/new-york/16780-La-Escuelita-Day-Care/
Kennedy Child Care Center;;;2212 Third Avenue, 2nd Floor, New York, NY 10035;private;PK;0;N/A;;/new-york/new-york/16781-Kennedy-Child-Care-Center/
H V G Playgroup Child Care Center;;;116 Pinehurst Avenue;private;PK;0;N/A;;/new-york/new-york/16782-H-V-G-Playgroup-Child-Care-Center/
Bank Of America Child Development Center;;;Four World Financial Center;private;PK;0;N/A;;/new-york/new-york/16783-Bank-Of-America-Child-Development-Center/
Montclare Children's School;;;747 Amsterdam Avenue;private;PK;0;N/A;;/new-york/new-york/16799-Montclare-Childrens-School/
University Day Care;;;10938 128th St Ph;private;PK;0;N/A;;/new-york/new-york/16955-University-Day-Care/
Summer's Place Nyc Day Care;;;15 Washington Place;private;PK;0;N/A;;/new-york/new-york/16973-Summers-Place-Nyc-Day-Care/
True Light Lutheran Church;;;195 Worth Street;private;PK;0;N/A;;/new-york/new-york/17007-True-Light-Lutheran-Church/
Nycha Campos Plaza Community Child Care Center;;;611 East 13th Street;private;PK;0;N/A;;/new-york/new-york/17022-Nycha-Campos-Plaza-Community-Child-Care-Center/
Inwood Kids Day Care;;;5000 Broadway;private;PK;0;N/A;;/new-york/new-york/17024-Inwood-Kids-Day-Care/
Jardin Infantil Day Care;;;548 West 163rd Street #1;private;PK;0;N/A;;/new-york/new-york/17027-Jardin-Infantil-Day-Care/
Time For Your Little Ones Dc;;;148 Bradhurst Avenue;private;PK;0;N/A;;/new-york/new-york/17315-Time-For-Your-Little-Ones-Dc/
Simply Learning Day Care;;;1900 Lexington Avenue;private;PK;0;N/A;;/new-york/new-york/17317-Simply-Learning-Day-Care/
Elsa's Sweet Dream Day Care;;;381 Edgecombe Avenue #5b;private;PK;0;N/A;;/new-york/new-york/17515-Elsas-Sweet-Dream-Day-Care/
Nana's Blessings Child Care Center;;;815 West 181st Street;private;PK;0;N/A;;/new-york/new-york/17516-Nanas-Blessings-Child-Care-Center/
Upper West Side Day Care;;;255 West 94th Street #8;private;PK;0;N/A;;/new-york/new-york/17517-Upper-West-Side-Day-Care/
The Goddard School - Manhattan (93rd and Broadway);;;2495 Broadway 2nd Fl;private;PK;0;N/A;;/new-york/new-york/17575-The-Goddard-School---Manhattan-93rd-And-Broadway/
Episcopal Social Serv Child Care Center-Ny;;;6 Edgecombe Ave 5th Fl;private;PK;0;N/A;;/new-york/new-york/17611-Episcopal-Social-Serv-Child-Care-Center-Ny/
Appletree Day Care Center;;;7320 Bell Blvd;private;PK;0;N/A;;/new-york/new-york/17757-Appletree-Day-Care-Center/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Children's Creative Learning Center;;;90 Park Avenue;private;PK;0;N/A;;/new-york/new-york/17764-Childrens-Creative-Learning-Center/
Midtown Chabad Lubavitch Child Care Center;;;336 East 53rd Street;private;PK;0;N/A;;/new-york/new-york/17777-Midtown-Chabad-Lubavitch-Child-Care-Center/
Le Petit Paradis;;;1656 3rd Avenue;private;PK;0;N/A;;/new-york/new-york/17780-Le-Petit-Paradis/
Chabad Child Care Center-Gramercy Park;;;121 West 19th Street;private;PK;0;N/A;;/new-york/new-york/17781-Chabad-Child-Care-Center-Gramercy-Park/
Renaissance Village Child Care Center;;;220 Cabrini Boulevard;private;PK;0;N/A;;/new-york/new-york/17800-Renaissance-Village-Child-Care-Center/
Pre-School Of America Child Care Center;;;101 West End Avenue;private;PK;0;N/A;;/new-york/new-york/17810-Pre-School-Of-America-Child-Care-Center/
Manhattan Kids Club Iii Child Care Center;;;350 Avenue of the Americas;private;PK;0;N/A;;/new-york/new-york/17811-Manhattan-Kids-Club-Iii-Child-Care-Center/
Bright Horizons Child Care Center-888 Main;;;888 Main Street;private;PK;0;N/A;;/new-york/new-york/17813-Bright-Horizons-Child-Care-Center-888-Main/
John Jay College Child Care Center;;;445 West 59th Street;private;PK;0;N/A;;/new-york/new-york/17820-John-Jay-College-Child-Care-Center/
Hamilton-Madison House Child Care Center;;;253 South Street;private;PK;0;N/A;;/new-york/new-york/17828-Hamilton-Madison-House-Child-Care-Center/
Urban Concepts Child Care Center-New York;;;3333 Broadway;private;PK;0;N/A;;/new-york/new-york/17834-Urban-Concepts-Child-Care-Center-New-York/
New York Center For Cdc;;;328 East 62nd Street;private;PK;0;N/A;;/new-york/new-york/17841-New-York-Center-For-Cdc/
Jewish Community Child Care Center-Up W Side;;;334 Amsterdam Avenue;private;PK;0;N/A;;/new-york/new-york/17844-Jewish-Community-Child-Care-Center-Up-W-Side/
Noah's Ark Day Care Center;;;120 Vermilyea Avenue;private;PK;0;N/A;;/new-york/new-york/17845-Noahs-Ark-Day-Care-Center/
Chabad Lobavitch Child Care Center-Up E Side;;;419 East 77th Street;private;PK;0;N/A;;/new-york/new-york/17846-Chabad-Lobavitch-Child-Care-Center-Up-E-Side/
International Pre-School;;;351 East 74th Street;private;PK;0;N/A;;/new-york/new-york/17849-International-Pre-School/
The Wee Ones School;;;128 East 36th Street;private;PK;0;N/A;;/new-york/new-york/17859-The-Wee-Ones-School/
Explore+Discover;;;444 2nd Avenue;private;PK;0;N/A;;/new-york/new-york/17865-ExploreDiscover/
HudsonWay Immersion School;;;525 W 52nd St;private;PK, K-5;22;N/A;;/new-york/new-york/17877-HudsonWay-Immersion-School/
Is 218 Salome Urena;;;4600 Broadway;public;6-8;173;9;New York City Geographic District # 6;/new-york/new-york/1793-Is-218-Salome-Urena/
Children's Academy;;;317 East 82nd Street;private;K-8;42;N/A;;/new-york/new-york/17971-Childrens-Academy/
The Lang School;;;11 Broadway;private;2-12;59;N/A;;/new-york/new-york/17972-The-Lang-School/
The Mandell School;;;795 Columbus Avenue;private;PK, K-8;432;N/A;;/new-york/new-york/17973-The-Mandell-School/
Washington Heights Hellenic;;;120 Wadsworth Avenue;private;PK, K-8;163;N/A;;/new-york/new-york/17985-Washington-Heights-Hellenic/
Bridge Community Playschool;;;250 East 61st Street;private;PK;0;N/A;;/new-york/new-york/18061-Bridge-Community-Playschool/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Bright Horizons at Tribeca (Will open: Spring 2015);;;129 Hudson Street;private;PK;0;N/A;;/new-york/new-york/18087-Bright-Horizons-At-Tribeca-Will-Open-Spring-2015/
International Academy of New York;;;4 East 90th Street;private;PK, K-8;0;N/A;;/new-york/new-york/18097-New-York-International-School/
Bright Horizons at Chelsea;;;260 West 26th Street;private;PK;0;N/A;;/new-york/new-york/18145-Bright-Horizons-At-Chelsea/
Adults and Children in Trust (A.C.T.) - ACT Preschool, ACT Nursery, ACT Early Years (Toddler Classes);;;1047 Amsterdam Ave;private;PK;0;N/A;;/new-york/new-york/18150-Adults-And-Children-In-Trust-A.C.T.---ACT-Preschool-ACT-Nursery-ACT-Early-Years-Toddler-Classes/
CCLC @ 4 NY Plaza;;;4 NY Plaza;private;PK;0;N/A;;/new-york/new-york/18156-CCLC--4-NY-Plaza/
Evolution Enrichment Center;;;38 delancey st.;private;PK;0;N/A;;/new-york/new-york/18188-Evolution-Enrichment-Center/
China Institute;;;40 Rector Street;private;PK, K, 2-12;0;N/A;;/new-york/new-york/18195-China-Institute/
United Nations International School;;;24-50 FDR Drive New York;private;K-12;0;N/A;;/new-york/new-york/18197-United-Nations-International-School/
Harlem Village Academy West 2 Charter School;;;74 West 124th Street;charter;K-2 & Ungraded;0;N/A;;/new-york/new-york/18211-Harlem-Village-Academy-West-2-Charter-School/
Success Academy Charter School-Nyc 3;;;98 Pine Street;charter;K-1;0;N/A;;/new-york/new-york/18229-Success-Academy-Charter-School-Nyc-3/
Success Academy Charter School-Nyc 5;;;99 Pine Street;charter;K-1;0;N/A;Brooklyn Charter Schools;/new-york/new-york/18242-Success-Academy-Charter-School-Nyc-5/
Success Academy Charter School-Nyc 6;;;100 Pine Street;charter;K-1;0;N/A;;/new-york/new-york/18243-Success-Academy-Charter-School-Nyc-6/
Success Academy Charter School-Nyc 7;;;101 Pine Street;charter;K-1;0;N/A;;/new-york/new-york/18245-Success-Academy-Charter-School-Nyc-7/
Success Academy Charter School-Nyc 11;;;105 Pine Street;charter;K-1;0;N/A;;/new-york/new-york/18256-Success-Academy-Charter-School-Nyc-11/
Success Academy Charter School-Nyc 12;;;106 Pine Street;charter;K-1;0;N/A;;/new-york/new-york/18258-Success-Academy-Charter-School-Nyc-12/
Success Academy Charter School-Nyc 14;;;108 Pine Street;charter;K-1;0;N/A;;/new-york/new-york/18271-Success-Academy-Charter-School-Nyc-14/
BASIS Independent Manhattan;;;795 Columbus Avenue;private;K-8;0;N/A;;/new-york/new-york/18282-BASIS-Independent-Manhattan/
Portfolio School;;;90 Hudson Street;private;K-7;0;N/A;;/new-york/new-york/18289-Portfolio-School/
Bright Horizons at 90 Washington;;;90 Washington Street;private;PK;0;N/A;;/new-york/new-york/18291-Bright-Horizons-At-90-Washington/
The Goddard School - Manhattan (Murray Hill);;;751 2nd Ave;private;PK;0;N/A;;/new-york/new-york/18298-The-Goddard-School---Manhattan-Murray-Hill/
Bright Horizons at West 63rd;;;425 Freedom Place South;private;PK;0;N/A;;/new-york/new-york/18300-Bright-Horizons-At-West-63rd/
Fusion Academy Manhattan - Lincoln Center;;;157 Columbus Avenue, 3rd Floor;private;6-12;0;N/A;;/new-york/new-york/18308-Fusion-Academy-Manhattan---Lincoln-Center/
The Goddard School - Manhattan (90th and York Ave);;;1725 York Avenue;private;PK;0;N/A;;/new-york/new-york/18311-The-Goddard-School---Manhattan-90th-And-York-Ave/
Fusion Academy Upper West Side;;;157 Columbus Avenue;private;6-12;0;N/A;;/new-york/new-york/18408-Fusion-Academy-Upper-West-Side/
Abraham Joshua Heschel School;;;30 West End Avenue;private;PK-12;0;N/A;;/new-york/new-york/18429-Abraham-Joshua-Heschel-School/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Aichhorn School (The);;;23 West 106th Street;private;9-12;0;N/A;;/new-york/new-york/18432-Aichhorn-School-The/
BASIS Independent Manhattan;;;795 Columbus Avenue;private;PK-7;290;N/A;;/new-york/new-york/18450-BASIS-Independent-Manhattan/
Bilingual Buds Inc;;;80 Riverside Drive;private;PK-4;64;N/A;;/new-york/new-york/18452-Bilingual-Buds-Inc/
British International School of Ny;;;20 Waterside Plaza;private;PK-10;300;N/A;;/new-york/new-york/18463-British-International-School-Of-Ny/
Dominican Academy;;;44 East 68th Street;private;9-12;218;N/A;;/new-york/new-york/18494-Dominican-Academy/
Dwight School;;;18 West 89th Street;private;PK-12;957;N/A;;/new-york/new-york/18496-Dwight-School/
Fusion Academy Lc: Manhattan - Lincoln Center;;;157 Columbus Avenue;private;7-12;70;N/A;;/new-york/new-york/18502-Fusion-Academy-Lc-Manhattan---Lincoln-Center/
Gillen Brewer School;;;410 East 92nd Street;private;PK;82;N/A;;/new-york/new-york/18509-Gillen-Brewer-School/
Great Tomorrows Usa;;;38 West 123rd Street;private;K-11;31;N/A;;/new-york/new-york/18511-Great-Tomorrows-Usa/
Islamic Cultural Center School;;;222 E 97TH ST;private;PK-6;121;N/A;;/new-york/new-york/18526-Islamic-Cultural-Center-School/
Islamic Cultural Center School;;;222 E 97TH ST;private;PK-8;0;N/A;;/new-york/new-york/18527-Islamic-Cultural-Center-School/
J G B Education Services;;;80 West End Avenue;private;Ungraded;50;N/A;;/new-york/new-york/18529-J-G-B-Education-Services/
Lascuola Ditalia;;;12 East 96th Street;private;PK-12;163;N/A;;/new-york/new-york/18539-Lascuola-Ditalia/
Manhattan Children's Center (The);;;111 West 92nd Street;private;Ungraded;115;N/A;;/new-york/new-york/18544-Manhattan-Childrens-Center-The/
Manhattan Star Academy;;;180 Amsterdam Avenue;private;Ungraded;66;N/A;;/new-york/new-york/18545-Manhattan-Star-Academy/
Montessori School of Ny;;;347 East 55th Street;private;PK-6;70;N/A;;/new-york/new-york/18562-Montessori-School-Of-Ny/
New Amsterdam School;;;62 Avenue B;private;PK-2;51;N/A;;/new-york/new-york/18570-New-Amsterdam-School/
Quad Preparatory School (The);;;25 PINE ST;private;K-12;77;N/A;;/new-york/new-york/18586-Quad-Preparatory-School-The/
School for Young Performers;;;222 Broadway;private;K-12;10;N/A;;/new-york/new-york/18594-School-For-Young-Performers/
Shefa School;;;40 East 29th Street;private;1-8;146;N/A;;/new-york/new-york/18598-Shefa-School/
Solomon Schechter School of Manhattan;;;805 Columbus Avenue;private;K-7;123;N/A;;/new-york/new-york/18600-Solomon-Schechter-School-Of-Manhattan/
St Albans School;;;317 East 50th Street;private;PK-8;118;N/A;;/new-york/new-york/18604-St-Albans-School/
St Elizabeth Catholic School;;;612 West 187th Street;private;PK-8;308;N/A;;/new-york/new-york/18609-St-Elizabeth-Catholic-School/
The Atlas School;;;252 West 29th Street;private;Ungraded;23;N/A;;/new-york/new-york/18630-The-Atlas-School/
The Birch Wathen Lenox School;;;210 East 77th Street;private;K-12;541;N/A;;/new-york/new-york/18631-The-Birch-Wathen-Lenox-School/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
The Brearley School;;;610 East 83rd Street;private;K-12;748;N/A;;/new-york/new-york/18632-The-Brearley-School/
The Epiphany School;;;234 East 22nd Street;private;PK-8;501;N/A;;/new-york/new-york/18636-The-Epiphany-School/
The Geneva School of Manhattan West Campus;;;138 West 90th Street;private;PK-8;242;N/A;;/new-york/new-york/18637-The-Geneva-School-Of-Manhattan-West-Campus/
Think Global School;;;1460 BROADWAY #7032;private;10-12;44;N/A;;/new-york/new-york/18642-Think-Global-School/
Transfiguration Upper and Lower  Campus;;;29 Mott Street;private;K-8;416;N/A;;/new-york/new-york/18645-Transfiguration-Upper-And-Lower--Campus/
Trevor Day School;;;312 East 95th Street;private;PK-12;783;N/A;;/new-york/new-york/18646-Trevor-Day-School/
Twin Parks Montessori School - Central Park;;;1 W 91ST ST;private;PK;81;N/A;;/new-york/new-york/18647-Twin-Parks-Montessori-School---Central-Park/
Battery Park Montessori;;;21 South End Avenue;private;PK, K;0;N/A;;/new-york/new-york/18678-Battery-Park-Montessori/
Pine Street School;;;25 Pine Street;private;PK, K-8;201;N/A;;/new-york/new-york/18679-Pine-Street-School/
Academy of Thought and Industry Museum Mile;;;12 East 79th Street;private;6-9;0;N/A;;/new-york/new-york/18680-Academy-Of-Thought-And-Industry-Museum-Mile/
Guidepost Montessori at Columbus Square;;;775 Columbus Avenue;private;PK, K;0;N/A;;/new-york/new-york/18682-Guidepost-Montessori-At-Columbus-Square/
Guidepost Montessori at East Village;;;1 Avenue B;private;PK, K-5;0;N/A;;/new-york/new-york/18683-Guidepost-Montessori-At-East-Village/
Guidepost Montessori at Museum Mile;;;12 East 79th Street;private;PK, K-5;0;N/A;;/new-york/new-york/18684-Guidepost-Montessori-At-Museum-Mile/
Avenues The World School, Online;;;11 East 26th Street;private;PK, K-12;0;N/A;;/new-york/new-york/18686-Avenues-The-World-School-Online/
Aaron School K - 12;;;309 E 45TH STREET NEW YORK NEW YORK;private;K-12;185;N/A;;/new-york/new-york/18691-Aaron-School-K---12/
Bais Yaakov Bnos Aliya;;;270 West 84th Street;private;1-7;21;N/A;;/new-york/new-york/18697-Bais-Yaakov-Bnos-Aliya/
Bilingual Buds Inc DBA Hudsonway Immersion School;;;525 West 52nd Street;private;PK-6;92;N/A;;/new-york/new-york/18700-Bilingual-Buds-Inc-DBA-Hudsonway-Immersion-School/
Cathedral High School;;;350 East 56th Street;private;9-12;465;N/A;;/new-york/new-york/18711-Cathedral-High-School/
Elisabeth Irwin High School;;;40 Charlton Street;private;PK-12;650;N/A;;/new-york/new-york/18726-Elisabeth-Irwin-High-School/
Gan Aliya;;;126 East 56th Street;private;PK-K;42;N/A;;/new-york/new-york/18731-Gan-Aliya/
International Academy of New York;;;4 East 90th Street;private;PK-4;45;N/A;;/new-york/new-york/18739-International-Academy-Of-New-York/
Manhattan Country School;;;150 West 85th Street;private;PK-8;306;N/A;;/new-york/new-york/18749-Manhattan-Country-School/
Mesivta Tifereth Jerusalem;;;145 East Broadway;private;K-12;164;N/A;;/new-york/new-york/18753-Mesivta-Tifereth-Jerusalem/
